epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,788.932,0.66969,0.15218,0.11264,0.8482,1.22856,0.77857,0.84724,0.87322,0.52494,0.96512,0.96988,0.99076,0.98349,1.14732,0.09655,0.0028,0.93041,1.80744,0.0016106,0.0016106,0.0016106
61,801.678,0.68892,0.13898,0.10808,0.85914,1.24089,0.72409,0.91693,0.87877,0.54793,0.91062,0.93976,0.97871,0.97084,1.05416,0.09562,0.00453,0.81966,1.66388,0.001604,0.001604,0.001604
62,814.512,0.70306,0.14758,0.11328,0.89288,1.2526,0.80494,0.84337,0.89205,0.5471,0.9351,0.9759,0.9912,0.98352,1.07181,0.08646,0.00456,0.85943,1.70274,0.0015974,0.0015974,0.0015974
63,827.384,0.65529,0.15525,0.10884,0.87909,1.23601,0.73725,0.78916,0.81094,0.51015,0.94079,0.95721,0.9834,0.97543,1.04719,0.09464,0.01079,0.91598,1.67601,0.0015908,0.0015908,0.0015908
64,840.198,0.68305,0.16908,0.12081,0.88268,1.23971,0.73721,0.8494,0.86984,0.56378,0.88789,0.92771,0.96413,0.95586,1.02187,0.10149,0.00564,0.8177,1.65694,0.0015842,0.0015842,0.0015842
65,853.061,0.66352,0.15131,0.11338,0.88094,1.23066,0.78632,0.77711,0.81593,0.49245,0.97528,0.96386,0.99268,0.98753,1.14845,0.09845,0.0032,0.90903,1.84705,0.0015776,0.0015776,0.0015776
66,865.779,0.6547,0.14213,0.10435,0.89972,1.22518,0.7059,0.8494,0.82747,0.51394,0.89755,0.94998,0.97492,0.96644,1.04571,0.10189,0.00524,0.91835,1.69959,0.001571,0.001571,0.001571
67,878.429,0.6713,0.15161,0.10202,0.85818,1.22944,0.75159,0.88554,0.87842,0.53723,0.93777,0.93373,0.9838,0.97903,1.06116,0.09502,0.0034,0.87039,1.68656,0.0015644,0.0015644,0.0015644
68,891.141,0.65797,0.13724,0.10797,0.85382,1.22801,0.78797,0.78355,0.80119,0.4981,0.96667,0.98795,0.9938,0.98782,1.11229,0.09185,0.01265,0.90947,1.83914,0.0015578,0.0015578,0.0015578
69,903.86,0.64518,0.14405,0.116,0.86102,1.21991,0.75956,0.8253,0.85873,0.53378,0.87712,0.94601,0.96542,0.95741,1.07552,0.09781,0.00445,0.87754,1.69912,0.0015512,0.0015512,0.0015512
70,916.562,0.68559,0.15058,0.11286,0.87565,1.24765,0.77159,0.81398,0.87396,0.53308,0.94782,0.98486,0.99169,0.98299,1.10327,0.12174,0.01906,0.85527,1.71793,0.0015446,0.0015446,0.0015446
71,929.351,0.70034,0.15156,0.113,0.84227,1.25141,0.7642,0.77711,0.81884,0.50707,0.95874,0.97996,0.99117,0.98506,1.03984,0.09561,0.0097,0.94266,1.63527,0.001538,0.001538,0.001538
72,942.142,0.65557,0.1309,0.10396,0.87421,1.23724,0.75791,0.75438,0.81177,0.50648,0.94174,0.98193,0.99097,0.98723,1.1744,0.09336,0.00196,0.93484,1.85159,0.0015314,0.0015314,0.0015314
73,954.874,0.65715,0.12684,0.10103,0.84812,1.23067,0.7586,0.75301,0.83229,0.51231,0.89273,0.91566,0.9677,0.95158,1.10123,0.12667,0.00287,0.8452,1.74608,0.0015248,0.0015248,0.0015248
74,967.62,0.63177,0.15199,0.11142,0.83878,1.20502,0.7057,0.83133,0.82875,0.53471,0.92554,0.89861,0.97634,0.96834,0.94619,0.09464,0.00652,0.87843,1.55056,0.0015182,0.0015182,0.0015182
75,980.362,0.62999,0.13707,0.1067,0.83389,1.19501,0.70022,0.72892,0.76058,0.47632,0.8838,0.91639,0.97461,0.96545,1.16776,0.09584,0.00281,0.98903,1.86047,0.0015116,0.0015116,0.0015116
76,993.077,0.6509,0.14009,0.11042,0.84649,1.21354,0.76074,0.78313,0.79586,0.50835,0.9529,0.97503,0.9906,0.98415,1.04725,0.08496,0.004,0.84707,1.68659,0.001505,0.001505,0.001505
77,1005.8,0.61716,0.12692,0.10413,0.82222,1.1945,0.74162,0.76506,0.75877,0.47609,0.94715,0.97171,0.99195,0.98545,1.11207,0.08846,0.00834,0.96927,1.72349,0.0014984,0.0014984,0.0014984
78,1018.5,0.62635,0.13584,0.10041,0.81236,1.20736,0.69328,0.76506,0.80423,0.51805,0.86515,0.91566,0.96156,0.95461,1.03717,0.0988,0.00436,0.94054,1.67716,0.0014918,0.0014918,0.0014918
79,1031.19,0.64031,0.1567,0.10893,0.84281,1.20858,0.68108,0.88554,0.82327,0.53726,0.88528,0.96988,0.96959,0.95851,0.94307,0.10623,0.00337,0.9073,1.55159,0.0014852,0.0014852,0.0014852
80,1043.86,0.62615,0.13585,0.09869,0.84125,1.20054,0.73736,0.81928,0.84564,0.55196,0.92421,0.95504,0.98222,0.97004,0.99591,0.09943,0.00487,0.85673,1.58256,0.0014786,0.0014786,0.0014786
81,1056.53,0.62879,0.11947,0.09814,0.8281,1.20592,0.73285,0.80976,0.83613,0.54056,0.88444,0.89759,0.96183,0.95215,1.06932,0.08675,0.00352,0.87221,1.68479,0.001472,0.001472,0.001472
82,1069.24,0.63192,0.13769,0.10788,0.81546,1.19966,0.69119,0.90339,0.83633,0.51086,0.9291,0.94727,0.98493,0.98055,1.16825,0.08463,0.00213,0.78961,1.87735,0.0014654,0.0014654,0.0014654
83,1081.9,0.63847,0.12502,0.09845,0.80883,1.21515,0.77319,0.85542,0.87388,0.52773,0.91335,0.93373,0.98062,0.97427,1.10203,0.09095,0.00258,0.88985,1.77628,0.0014588,0.0014588,0.0014588
84,1094.5,0.64296,0.13067,0.10188,0.81337,1.19643,0.81583,0.78313,0.89002,0.55336,0.92534,0.89759,0.96894,0.96179,1.07803,0.088,0.00244,0.8186,1.72254,0.0014522,0.0014522,0.0014522
85,1107.39,0.61505,0.1332,0.09823,0.76707,1.19897,0.77655,0.8165,0.85304,0.54489,0.90622,0.98193,0.98412,0.97773,1.06211,0.10198,0.00538,0.86789,1.68404,0.0014456,0.0014456,0.0014456
86,1120.33,0.65234,0.14167,0.09789,0.7946,1.20685,0.70618,0.82528,0.7895,0.50649,0.90119,0.93402,0.97743,0.97141,1.04918,0.08051,0.00346,0.92226,1.66187,0.001439,0.001439,0.001439
87,1133.19,0.60362,0.13713,0.1046,0.79233,1.17183,0.77923,0.78671,0.80808,0.4989,0.91399,0.89625,0.96435,0.95628,1.07508,0.09464,0.00736,1.00391,1.72003,0.0014324,0.0014324,0.0014324
88,1145.88,0.61295,0.13759,0.10079,0.77224,1.19356,0.7688,0.71084,0.77228,0.46824,0.99251,0.90964,0.98511,0.97977,1.16389,0.08637,0.00396,0.90534,1.8784,0.0014258,0.0014258,0.0014258
89,1158.53,0.61524,0.13308,0.09926,0.77993,1.20219,0.72594,0.76592,0.7687,0.46643,0.9364,0.93373,0.9812,0.97573,1.23267,0.08558,0.01084,0.8542,2.01466,0.0014192,0.0014192,0.0014192
90,1171.2,0.60061,0.12097,0.10241,0.76006,1.17963,0.78309,0.73943,0.7761,0.47886,0.96801,0.91148,0.98095,0.97398,1.29089,0.09423,0.00776,0.89787,2.18999,0.0014126,0.0014126,0.0014126
91,1183.94,0.61093,0.13025,0.10009,0.75926,1.19305,0.76597,0.78866,0.82679,0.55955,0.9013,0.93516,0.96397,0.95661,0.95236,0.08677,0.00167,0.85826,1.58142,0.001406,0.001406,0.001406
92,1196.62,0.61622,0.13996,0.09897,0.73533,1.19965,0.81853,0.70647,0.80107,0.52231,0.91095,0.86278,0.95817,0.95236,1.0626,0.0824,0.0026,0.89546,1.79112,0.0013994,0.0013994,0.0013994
93,1209.38,0.60971,0.11894,0.09401,0.72377,1.18791,0.72358,0.84337,0.80958,0.52664,0.89971,0.93976,0.97258,0.96637,1.05884,0.08618,0.00138,0.84153,1.72315,0.0013928,0.0013928,0.0013928
94,1222.03,0.58606,0.12184,0.09458,0.75695,1.17263,0.71454,0.84337,0.79468,0.50998,0.96871,0.93242,0.98896,0.97441,1.07964,0.10892,0.00124,0.78227,1.89497,0.0013862,0.0013862,0.0013862
95,1234.74,0.61828,0.11584,0.08589,0.75183,1.19682,0.76965,0.8012,0.81034,0.52764,0.93658,0.97859,0.98808,0.98382,1.03361,0.08689,0.00252,0.92535,1.71097,0.0013796,0.0013796,0.0013796
96,1247.39,0.60693,0.10945,0.08939,0.72577,1.18175,0.81158,0.8303,0.84309,0.54436,0.93418,0.99398,0.98407,0.98051,1.06556,0.09625,0.00264,0.79721,1.74522,0.001373,0.001373,0.001373
97,1260.07,0.61234,0.11651,0.08672,0.71982,1.19805,0.73734,0.86246,0.82612,0.52185,0.93057,0.96887,0.98539,0.98103,1.09843,0.08282,0.00207,0.8681,1.75165,0.0013664,0.0013664,0.0013664
98,1272.76,0.56972,0.12886,0.1025,0.70618,1.15467,0.73174,0.87089,0.80572,0.49727,0.9155,0.97899,0.97614,0.9701,1.12086,0.08939,0.00594,0.87965,1.78057,0.0013598,0.0013598,0.0013598
99,1285.48,0.58904,0.1149,0.09588,0.71874,1.16104,0.74051,0.79081,0.75169,0.48662,0.96034,0.96988,0.99017,0.9844,1.09605,0.10419,0.00116,1.04243,1.84777,0.0013532,0.0013532,0.0013532
100,1298.29,0.59344,0.11528,0.09495,0.73562,1.16147,0.76152,0.81325,0.83132,0.51912,0.89183,0.94364,0.97409,0.96729,1.03347,0.10086,0.0029,0.91143,1.65935,0.0013466,0.0013466,0.0013466
101,1311.05,0.5895,0.11413,0.08872,0.70996,1.17506,0.7674,0.80723,0.81302,0.52751,0.90017,0.94578,0.97788,0.97283,1.04732,0.09428,0.00444,0.87284,1.73859,0.00134,0.00134,0.00134
102,1323.77,0.56342,0.11808,0.07837,0.7007,1.15161,0.78704,0.75904,0.81047,0.50936,0.93256,0.89157,0.97374,0.96857,1.11485,0.0808,0.00258,0.8913,1.8082,0.0013334,0.0013334,0.0013334
103,1336.48,0.5848,0.11053,0.08891,0.71642,1.17188,0.78793,0.86145,0.82499,0.51431,0.94639,0.95715,0.98777,0.98259,1.16621,0.09854,0.01309,0.81877,1.91302,0.0013268,0.0013268,0.0013268
104,1349.21,0.56545,0.12262,0.08782,0.6941,1.16476,0.82099,0.82886,0.82792,0.5332,0.96382,0.963,0.98921,0.98386,1.15964,0.09181,0.00119,0.80701,1.96124,0.0013202,0.0013202,0.0013202
105,1361.89,0.5688,0.12263,0.0874,0.68642,1.16256,0.7918,0.8253,0.83282,0.5521,0.94667,0.96248,0.9904,0.98504,1.01666,0.08302,0.00088,0.82907,1.76393,0.0013136,0.0013136,0.0013136
