epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1626.82,0.08837,0.50617,0.16436,0.22027,0.89298,0.97739,1,0.99384,0.98959,0.96623,0.98889,0.98593,0.82549,0.15478,0.40356,0.12469,0.3671,0.22469,0.00118378,0.00118378,0.00118378
54,1656.95,0.08836,0.53178,0.16233,0.22084,0.90319,0.99147,1,0.99239,0.9897,0.99147,1,0.99239,0.8241,0.21191,0.3983,0.13373,0.35798,0.28244,0.00117907,0.00117907,0.00117907
55,1687.04,0.09096,0.52361,0.15721,0.24633,0.89368,0.98888,0.99737,0.99438,0.99357,0.98888,0.99737,0.99438,0.78795,0.23301,0.49307,0.10047,0.2718,0.34204,0.00117435,0.00117435,0.00117435
56,1717.13,0.09273,0.49975,0.16159,0.2256,0.8998,0.99154,1,0.99255,0.96283,0.95824,0.96667,0.93808,0.7756,0.27011,0.45733,0.12107,0.42693,0.41167,0.00116964,0.00116964,0.00116964
57,1747.26,0.09083,0.48792,0.1584,0.2231,0.89769,0.99321,1,0.99421,0.99421,0.99321,1,0.99421,0.79166,0.1644,0.3707,0.09114,0.21438,0.24913,0.00116492,0.00116492,0.00116492
58,1777.42,0.08896,0.45882,0.15334,0.2116,0.89662,0.97607,0.97489,0.99369,0.9893,0.97607,0.97489,0.99369,0.82004,0.20354,0.38626,0.11946,0.40873,0.23869,0.00116021,0.00116021,0.00116021
59,1807.61,0.08932,0.46374,0.15235,0.20845,0.89836,0.98746,1,0.99395,0.98746,0.98746,1,0.99395,0.80659,0.25522,0.37725,0.14545,0.55704,0.28515,0.00115549,0.00115549,0.00115549
60,1837.83,0.08676,0.48657,0.15379,0.22503,0.89925,0.99255,1,0.99272,0.99272,0.99255,1,0.99272,0.84728,0.14279,0.35156,0.07954,0.20997,0.22159,0.00115077,0.00115077,0.00115077
61,1867.92,0.08407,0.46792,0.15212,0.20894,0.89864,0.99273,1,0.99341,0.99341,0.99273,1,0.99341,0.81961,0.19433,0.37362,0.16415,0.28198,0.28699,0.00114606,0.00114606,0.00114606
62,1898.19,0.08011,0.43765,0.15148,0.20329,0.89211,0.98451,0.99244,0.99326,0.99298,0.98451,0.99244,0.99326,0.84821,0.19429,0.36825,0.10477,0.3047,0.27304,0.00114134,0.00114134,0.00114134
63,1928.33,0.08291,0.45579,0.1496,0.20883,0.89134,0.99274,1,0.99226,0.99226,0.99274,1,0.99226,0.85583,0.2265,0.35304,0.06325,0.59973,0.27996,0.00113663,0.00113663,0.00113663
64,1958.7,0.0858,0.45854,0.14958,0.20875,0.90566,0.99482,0.98889,0.99228,0.99228,0.99482,0.98889,0.99228,0.83068,0.15138,0.37573,0.10755,0.26241,0.23386,0.00113191,0.00113191,0.00113191
65,1988.8,0.08057,0.43651,0.15027,0.20334,0.89265,0.99357,1,0.99233,0.99233,0.99357,1,0.99233,0.86048,0.15146,0.33037,0.05002,0.27269,0.22269,0.0011272,0.0011272,0.0011272
66,2019.2,0.07971,0.4307,0.14482,0.20386,0.89223,0.99185,1,0.99274,0.98089,0.99185,1,0.99274,0.85783,0.16663,0.3233,0.07515,0.26817,0.23941,0.00112248,0.00112248,0.00112248
67,2049.35,0.08382,0.42406,0.14682,0.20307,0.89704,0.99234,1,0.99325,0.99325,0.99234,1,0.99325,0.85309,0.17811,0.33624,0.0727,0.33307,0.2355,0.00111776,0.00111776,0.00111776
